Faction,Games,VP,Opp VP,Win %,Wins,Losses,Draws,Real Win %
Adepta Sororitas,6560,63.28,62.63,49.73%,3262,3195,103,49.74
Adeptus Custodes,12099,63.63,61.57,51.83%,6271,5643,185,51.90
Adeptus Mechanicus,4284,62.23,63.47,48.37%,2072,2121,91,48.40
Aeldari,10852,63.49,62.61,49.88%,5413,5281,158,49.90
Astra Militarum,11294,60.24,63.53,45.15%,5099,6010,185,45.01
Black Templars,7995,60.78,61.42,49.42%,3951,3924,120,49.43
Blood Angels,11738,62.65,62.37,48.53%,5696,5846,196,48.51
Chaos Daemons,6439,66.22,63.46,52.96%,3410,2912,117,53.05
Chaos Knights,10700,65.88,61.75,54.28%,5808,4752,140,54.48
Chaos Space Marines,9784,59.52,62.91,45.03%,4406,5242,136,44.91
Dark Angels,12228,61.55,62.20,48.04%,5874,6138,216,48.02
Death Guard,18067,64.67,62.53,53.21%,9613,8176,278,53.33
Deathwatch,1894,61.12,62.50,46.88%,888,971,35,46.88
Drukhari,4855,64.82,64.30,50.79%,2466,2303,86,50.80
Emperor's Children,8778,60.92,63.04,46.35%,4069,4554,155,46.33
Genestealer Cults,3806,66.30,64.16,51.87%,1974,1757,75,51.92
Grey Knights,6994,61.64,63.49,48.00%,3357,3520,117,47.98
Imperial Agents,612,60.13,66.46,42.32%,259,341,12,42.32
Imperial Knights,11163,65.89,61.81,55.59%,6206,4817,140,55.82
Leagues Of Votann,7661,63.31,63.86,49.07%,3759,3792,110,49.08
Necrons,14877,62.18,63.01,48.41%,7202,7414,261,48.39
Orks,9235,60.02,61.82,45.48%,4200,4905,130,45.38
Space Marines,18960,59.27,62.89,44.67%,8469,10179,312,44.29
Space Wolves,9021,61.73,60.94,49.94%,4505,4373,143,49.94
T'au,10973,61.18,63.83,46.06%,5054,5739,180,45.97
Thousand Sons,9395,61.59,62.07,49.57%,4657,4585,153,49.57
Tyranids,14975,62.24,61.85,49.01%,7339,7397,239,48.99
World Eaters,14099,63.58,61.54,51.43%,7251,6643,205,51.47
